Date,Open,High,Low,Close,Adj Close,Volume
2023-05-24,15172.269531,15172.269531,15006.280273,15022.889648,15022.889648,3739160000
2023-05-25,15022.889648,15022.889648,14898.700195,14975.969727,14975.969727,4147760000
2023-05-26,14975.969727,15119.160156,14975.969727,15078.690430,15078.690430,3715460000
2023-05-30,15078.690430,15087.969727,14951.160156,14994.639648,14994.639648,4228510000
2023-05-31,14994.639648,14994.639648,14810.570313,14887.139648,14887.139648,5980670000
2023-06-01,14887.139648,15069.940430,14872.280273,15031.089844,15031.089844,4391860000
2023-06-02,15031.089844,15365.700195,15031.089844,15345.190430,15345.190430,4454200000
2023-06-05,15345.190430,15353.089844,15258.919922,15275.209961,15275.209961,3813290000
2023-06-06,15275.209961,15403.400391,15260.719727,15391.799805,15391.799805,3996560000
2023-06-07,15391.799805,15486.209961,15382.530273,15469.629883,15469.629883,4537800000
2023-06-08,15469.629883,15517.230469,15416.700195,15502.639648,15502.639648,3826740000
2023-06-09,15502.639648,15557.299805,15478.089844,15499.910156,15499.910156,3786510000
2023-06-12,15499.910156,15560.459961,15483.040039,15548.469727,15548.469727,3945670000
2023-06-13,15548.469727,15701.490234,15548.469727,15667.790039,15667.790039,4275400000
2023-06-14,15667.790039,15746.120117,15573.400391,15642.730469,15642.730469,4252110000
2023-06-15,15642.730469,15855.089844,15633.559570,15826.349609,15826.349609,4176690000
2023-06-16,15826.349609,15904.200195,15786.440430,15795.120117,15795.120117,6848600000
2023-06-20,15795.120117,15795.120117,15605.839844,15648.919922,15648.919922,4055790000
2023-06-21,15648.919922,15706.780273,15578.299805,15657.000000,15657.000000,3709330000
2023-06-22,15657.000000,15657.000000,15564.330078,15600.700195,15600.700195,3511000000
2023-06-23,15600.700195,15600.700195,15449.750000,15469.349609,15469.349609,6053620000
2023-06-26,15469.349609,15563.410156,15469.349609,15518.740234,15518.740234,3415030000
2023-06-27,15518.740234,15663.950195,15518.740234,15646.679688,15646.679688,3573500000
2023-06-28,15646.679688,15646.679688,15563.099609,15617.360352,15617.360352,3739330000
2023-06-29,15617.360352,15738.900391,15599.900391,15737.379883,15737.379883,3696660000
2023-06-30,15737.379883,15908.709961,15737.379883,15875.910156,15875.910156,3923450000
2023-07-03,15875.910156,15932.009766,15853.730469,15918.500000,15918.500000,2034280000
2023-07-05,15918.500000,15918.500000,15809.049805,15835.530273,15835.530273,3482620000
2023-07-06,15835.530273,15835.530273,15557.969727,15641.669922,15641.669922,3682020000
2023-07-07,15641.669922,15788.740234,15602.469727,15671.629883,15671.629883,3630480000
2023-07-10,15671.629883,15778.049805,15648.679688,15748.870117,15748.870117,3429600000
2023-07-11,15748.870117,15907.620117,15748.870117,15897.309570,15897.309570,3624220000
2023-07-12,15897.309570,16069.059570,15897.309570,16011.280273,16011.280273,3920290000
2023-07-13,16011.280273,16125.200195,16011.280273,16106.849609,16106.849609,3839530000
2023-07-14,16106.849609,16130.709961,16029.780273,16040.230469,16040.230469,3647450000
2023-07-17,16040.230469,16085.429688,15977.240234,16054.169922,16054.169922,3538240000
2023-07-18,16054.169922,16191.610352,16052.169922,16156.509766,16156.509766,4090010000
2023-07-19,16156.509766,16273.750000,16156.509766,16230.940430,16230.940430,4115670000
2023-07-20,16230.940430,16272.889648,16213.860352,16263.709961,16263.709961,3761770000
2023-07-21,16263.709961,16324.129883,16244.679688,16289.120117,16289.120117,3570190000
2023-07-24,16289.120117,16398.070313,16289.120117,16369.139648,16369.139648,3856250000
2023-07-25,16369.139648,16421.740234,16344.360352,16385.169922,16385.169922,3812470000
2023-07-26,16385.179688,16456.419922,16330.959961,16418.210938,16418.210938,3990290000
2023-07-27,16418.210938,16458.890625,16254.160156,16270.599609,16270.599609,4553210000
2023-07-28,16270.599609,16382.480469,16270.599609,16363.259766,16363.259766,3981010000
2023-07-31,16363.259766,16448.000000,16363.259766,16427.289063,16427.289063,4503600000
2023-08-01,16427.289063,16427.289063,16310.360352,16356.509766,16356.509766,4042370000
2023-08-02,16356.509766,16356.509766,16154.339844,16174.540039,16174.540039,4270710000
2023-08-03,16174.540039,16174.540039,16067.540039,16125.419922,16125.419922,4149120000
2023-08-04,16125.419922,16252.320313,16059.830078,16071.059570,16071.059570,4143310000
2023-08-07,16071.059570,16215.679688,16071.059570,16208.230469,16208.230469,3493920000
2023-08-08,16208.230469,16208.230469,16025.370117,16176.349609,16176.349609,3884910000
2023-08-09,16176.349609,16224.910156,16107.849609,16135.769531,16135.769531,3803100000
2023-08-10,16135.769531,16319.900391,16110.120117,16135.219727,16135.219727,4504370000
2023-08-11,16135.219727,16178.450195,16064.599609,16143.379883,16143.379883,3753290000
2023-08-14,16143.379883,16143.379883,16036.040039,16116.049805,16116.049805,3896410000
2023-08-15,16116.049805,16116.049805,15897.330078,15911.309570,15911.309570,3832250000
2023-08-16,15911.309570,15961.400391,15816.129883,15818.110352,15818.110352,3753910000
2023-08-17,15818.110352,15900.320313,15720.959961,15734.379883,15734.379883,3943700000
2023-08-18,15734.379883,15780.209961,15626.919922,15750.169922,15750.169922,3940400000
2023-08-21,15750.169922,15799.940430,15658.589844,15746.209961,15746.209961,3726850000
2023-08-22,15746.209961,15796.679688,15681.849609,15690.280273,15690.280273,3522760000
2023-08-23,15690.280273,15838.339844,15690.280273,15823.269531,15823.269531,3837270000
2023-08-24,15823.269531,15894.309570,15681.980469,15683.009766,15683.009766,3723470000
2023-08-25,15683.009766,15816.820313,15632.570313,15766.910156,15766.910156,3296180000
2023-08-28,15766.910156,15911.809570,15766.910156,15879.589844,15879.589844,2957230000
2023-08-29,15879.589844,16044.129883,15868.049805,16041.490234,16041.490234,3354820000
2023-08-30,16041.490234,16120.280273,16041.490234,16074.219727,16074.219727,3064110000
2023-08-31,16074.219727,16100.809570,15999.750000,16000.370117,16000.370117,3946360000
2023-09-01,16000.370117,16152.360352,16000.370117,16091.790039,16091.790039,3246260000
2023-09-05,16091.790039,16096.509766,15942.389648,15942.480469,15942.480469,3526250000
2023-09-06,15942.480469,15946.870117,15819.389648,15891.530273,15891.530273,3418850000
2023-09-07,15891.530273,15897.410156,15811.660156,15864.190430,15864.190430,3763760000
2023-09-08,15864.190430,15914.209961,15847.080078,15878.990234,15878.990234,3259290000
2023-09-11,15878.990234,15989.679688,15878.990234,15949.440430,15949.440430,3369920000
2023-09-12,15949.440430,16022.519531,15915.549805,15953.910156,15953.910156,3435740000
2023-09-13,15953.910156,15989.740234,15892.549805,15926.639648,15926.639648,3529430000
2023-09-14,15926.639648,16105.860352,15926.639648,16089.480469,16089.480469,3648720000
2023-09-15,16089.480469,16094.580078,15960.259766,15973.679688,15973.679688,6932230000
2023-09-18,15973.679688,15989.209961,15910.490234,15952.519531,15952.519531,3161230000
2023-09-19,15952.519531,15980.959961,15861.889648,15929.009766,15929.009766,3614880000
2023-09-20,15929.009766,16029.809570,15856.740234,15859.620117,15859.620117,3308450000
2023-09-21,15859.620117,15859.620117,15599.719727,15601.599609,15601.599609,3662340000
2023-09-22,15601.599609,15669.959961,15561.790039,15569.509766,15569.509766,3349570000
2023-09-25,15569.509766,15597.650391,15491.230469,15593.730469,15593.730469,3195650000
2023-09-26,15593.730469,15593.730469,15371.750000,15381.580078,15381.580078,3472340000
2023-09-27,15381.580078,15454.120117,15288.450195,15394.690430,15394.690430,3875880000
2023-09-28,15394.690430,15526.330078,15390.250000,15478.070313,15478.070313,3846230000
2023-09-29,15478.070313,15572.169922,15364.990234,15398.209961,15398.209961,3865960000
2023-10-02,15398.209961,15398.209961,15154.009766,15230.009766,15230.009766,3938660000
2023-10-03,15230.009766,15230.009766,14993.919922,15043.419922,15043.419922,3953830000
2023-10-04,15049.610352,15076.980469,14924.950195,15070.910156,15070.910156,3777600000
2023-10-05,15070.910156,15093.669922,14986.639648,15072.990234,15072.990234,3581470000
2023-10-06,15072.900391,15285.610352,14942.540039,15214.019531,15214.019531,3902030000
2023-10-09,15214.019531,15336.519531,15166.500000,15318.080078,15318.080078,3174630000
2023-10-10,15318.080078,15524.919922,15318.080078,15450.240234,15450.240234,3520240000
2023-10-11,15450.240234,15521.580078,15390.070313,15487.780273,15487.780273,3601660000
2023-10-12,15487.780273,15510.580078,15252.730469,15329.549805,15329.549805,3713140000
2023-10-13,15329.549805,15454.759766,15273.099609,15323.700195,15323.700195,3566560000
2023-10-16,15323.700195,15515.799805,15323.700195,15484.500000,15484.500000,3409960000
2023-10-17,15484.500000,15618.900391,15406.610352,15541.379883,15541.379883,3794850000
2023-10-18,15541.379883,15541.379883,15302.009766,15324.959961,15324.959961,3686030000
2023-10-19,15324.959961,15386.139648,15171.669922,15196.370117,15196.370117,3969730000
2023-10-20,15196.370117,15196.370117,15031.639648,15033.309570,15033.309570,4004030000
2023-10-23,15033.309570,15082.620117,14916.629883,14946.009766,14946.009766,3776100000
2023-10-24,14946.009766,15086.099609,14946.009766,15025.759766,15025.759766,3821820000
2023-10-25,15025.759766,15025.759766,14899.500000,14914.120117,14914.120117,3869370000
2023-10-26,14914.120117,14956.700195,14830.690430,14858.700195,14858.700195,4277640000
2023-10-27,14858.700195,14873.459961,14638.370117,14675.780273,14675.780273,4019500000
2023-10-30,14675.780273,14853.459961,14675.780273,14825.889648,14825.889648,3911140000
2023-10-31,14825.889648,14923.190430,14804.650391,14919.200195,14919.200195,4249470000
2023-11-01,14919.200195,15024.419922,14904.919922,15002.549805,15002.549805,4224900000
2023-11-02,15002.549805,15339.740234,15002.549805,15332.599609,15332.599609,4669780000
2023-11-03,15332.599609,15539.879883,15332.599609,15475.200195,15475.200195,4570960000
2023-11-06,15475.200195,15523.809570,15399.230469,15440.500000,15440.500000,3656340000
2023-11-07,15440.500000,15440.500000,15342.730469,15388.490234,15388.490234,3791230000
2023-11-08,15388.480469,15422.809570,15302.940430,15352.190430,15352.190430,3729510000
2023-11-09,15352.190430,15401.280273,15229.509766,15235.179688,15235.179688,3900780000
2023-11-10,15235.179688,15396.480469,15207.580078,15388.440430,15388.440430,3665080000
2023-11-13,15388.440430,15433.740234,15321.530273,15403.139648,15403.139648,3326240000
2023-11-14,15403.139648,15771.870117,15403.139648,15732.669922,15732.669922,4700350000
2023-11-15,15732.669922,15848.540039,15732.669922,15765.019531,15765.019531,4347170000
2023-11-16,15765.019531,15767.509766,15663.709961,15716.549805,15716.549805,3964520000
2023-11-17,15716.549805,15822.580078,15716.549805,15813.459961,15813.459961,3777240000
2023-11-20,15813.459961,15916.860352,15782.469727,15881.629883,15881.629883,3644790000
2023-11-21,15881.629883,15893.009766,15848.240234,15861.570313,15861.570313,3511080000
2023-11-22,15861.570313,15920.389648,15856.299805,15907.889648,15907.889648,3042810000
2023-11-24,15907.889648,15998.299805,15907.889648,15983.820313,15983.820313,1639500000
2023-11-27,15983.820313,15983.820313,15912.980469,15930.889648,15930.889648,3403990000
2023-11-28,15930.889648,15993.870117,15897.469727,15929.150391,15929.150391,3586240000
2023-11-29,15929.150391,16033.049805,15929.150391,15962.990234,15962.990234,4418760000
2023-11-30,15962.990234,16094.259766,15962.990234,16088.839844,16088.839844,5399300000
2023-12-01,16088.839844,16271.700195,16062.040039,16263.750000,16263.750000,4397120000
2023-12-04,16263.799805,16272.928711,16163.661133,16232.823242,16232.823242,0
