Date, Open, High, Low, Close
2019-11-26,3134.85,3142.69,3131,3140.52
2019-11-27,3145.49,3154.26,3143.41,3153.63
2019-11-29,3147.18,3150.3,3139.34,3140.98
2019-12-02,3143.85,3144.31,3110.78,3113.87
2019-12-03,3087.41,3094.97,3070.33,3093.2
2019-12-04,3103.5,3119.38,3102.53,3112.76
2019-12-05,3119.21,3119.45,3103.76,3117.43
2019-12-06,3134.62,3150.6,3134.62,3145.91
2019-12-09,3141.86,3148.87,3135.46,3135.96
2019-12-10,3135.36,3142.12,3126.09,3132.52
2019-12-11,3135.75,3143.98,3133.21,3141.63
2019-12-12,3141.23,3176.28,3138.47,3168.57
2019-12-13,3166.65,3182.68,3156.51,3168.8
2019-12-16,3183.63,3197.71,3183.63,3191.45
2019-12-17,3195.4,3198.22,3191.03,3192.52
2019-12-18,3195.21,3198.48,3191.14,3191.14
2019-12-19,3192.32,3205.48,3192.32,3205.37
2019-12-20,3223.33,3225.65,3216.03,3221.22
2019-12-23,3226.05,3227.78,3222.3,3224.01
2019-12-24,3225.45,3226.43,3220.51,3223.38
2019-12-26,3227.2,3240.08,3227.2,3239.91
2019-12-27,3247.23,3247.93,3234.37,3240.02
2019-12-30,3240.09,3240.92,3216.57,3221.29
2019-12-31,3215.18,3231.72,3212.03,3230.78
2020-01-02,3244.67,3258.14,3235.53,3257.85
2020-01-03,3226.36,3246.15,3222.34,3234.85
2020-01-06,3217.55,3246.84,3214.64,3246.28
2020-01-07,3241.86,3244.91,3232.43,3237.18
2020-01-08,3238.59,3267.07,3236.67,3253.05
2020-01-09,3266.03,3275.58,3263.67,3274.7
2020-01-10,3281.81,3282.99,3260.86,3265.35
2020-01-13,3271.13,3288.13,3268.43,3288.13
2020-01-14,3285.35,3294.25,3277.19,3283.15
2020-01-15,3282.27,3298.66,3280.69,3289.29
2020-01-16,3302.97,3317.11,3302.82,3316.81
2020-01-17,3323.66,3329.88,3318.86,3329.62
2020-01-21,3321.03,3329.79,3316.61,3320.79
2020-01-22,3330.02,3337.77,3320.04,3321.75
2020-01-23,3315.77,3326.88,3301.87,3325.54
2020-01-24,3333.1,3333.18,3281.53,3295.47
2020-01-27,3247.16,3258.85,3234.5,3243.63
2020-01-28,3255.35,3285.78,3253.22,3276.24
2020-01-29,3289.46,3293.47,3271.89,3273.4
2020-01-30,3256.45,3285.91,3242.8,3283.66
2020-01-31,3282.33,3282.33,3214.68,3225.52
2020-02-03,3235.66,3268.44,3235.66,3248.92
2020-02-04,3280.61,3306.92,3280.61,3297.59
2020-02-05,3324.91,3337.58,3313.75,3334.69
2020-02-06,3344.92,3347.96,3334.39,3345.78
2020-02-07,3335.54,3341.42,3322.12,3327.71
2020-02-10,3318.28,3352.26,3317.77,3352.09
2020-02-11,3365.87,3375.63,3352.72,3357.75
2020-02-12,3370.5,3381.47,3369.72,3379.45
2020-02-13,3365.9,3385.09,3360.52,3373.94
2020-02-14,3378.08,3380.69,3366.15,3380.16
2020-02-18,3369.04,3375.01,3355.61,3370.29
2020-02-19,3380.39,3393.52,3378.83,3386.15
2020-02-20,3380.45,3389.15,3341.02,3373.23
2020-02-21,3360.5,3360.76,3328.45,3337.75
2020-02-24,3257.61,3259.81,3214.65,3225.89
2020-02-25,3238.94,3246.99,3118.77,3128.21
2020-02-26,3139.9,3182.51,3108.99,3116.39
2020-02-27,3062.54,3097.07,2977.39,2978.76
2020-02-28,2916.9,2959.72,2855.84,2954.22
2020-03-02,2974.28,3090.96,2945.19,3090.23
2020-03-03,3096.46,3136.72,2976.63,3003.37
2020-03-04,3045.75,3130.97,3034.38,3130.12
2020-03-05,3075.7,3083.04,2999.83,3023.94
2020-03-06,2954.2,2985.93,2901.54,2972.37
2020-03-09,2863.89,2863.89,2734.43,2746.56
2020-03-10,2813.48,2882.59,2734,2882.23
2020-03-11,2825.6,2825.6,2707.22,2741.38
2020-03-12,2630.86,2660.95,2478.86,2480.64
2020-03-13,2569.99,2711.33,2492.37,2711.02
