Date,Close,Volume,Open,High,Low
2021-03-18,322.98,2738244,326.48,328.14,322.38
2021-03-19,328.91,4859256,323.61,329.25,322.39
2021-03-22,334.49,4064876,328.45,336.17,328.19
2021-03-23,340.34,3641218,333.89,342.51,333.8
2021-03-24,338.04,3006369,342.22,342.51,336.83
2021-03-25,346.34,4307145,337.81,347.78,337.27
2021-03-26,352.02,3061215,346.21,352.46,344.1
2021-03-29,356.15,3011985,351.45,357.77,351.01
2021-03-30,349.75,2602426,353.58,354.77,348.84
2021-03-31,352.48,2832221,350.66,357.45,349.23
2021-04-01,354.94,2938607,352.54,357.32,351.63
2021-04-05,360.82,2705656,357.5,362.67,356.84
2021-04-06,360.12,2142011,359.8,362.8,359
2021-04-07,358.81,1808369,360.87,361.46,357.61
2021-04-08,361.22,2839157,362.8,366.02,359.6
2021-04-09,363.21,1610750,360.91,363.71,359.6
2021-04-12,364.81,1836606,362.84,365.25,361.34
2021-04-13,365.21,1796367,365.34,367.3,364.27
2021-04-14,363.17,1509408,364.85,364.85,362.55
2021-04-15,368.8,1850332,364.88,369.55,364.27
2021-04-16,370.72,2249168,369.7,372.8,368.58
2021-04-19,369.55,1560002,371,371.53,368.2
2021-04-20,371.73,2330659,369,375.36,368.73
2021-04-21,374.09,1532098,371.61,374.58,371.47
2021-04-22,371.26,2138003,374.34,375.44,370.03
2021-04-23,373.28,1404929,371.26,374.85,370.41
2021-04-26,368.52,2059737,373.9,373.9,368.21
2021-04-27,370.21,1875871,368.17,370.96,365.29
2021-04-28,369.59,1305602,369.55,370.5,368.18
2021-04-29,373.54,1848301,368.54,374.71,368.53
2021-04-30,372.09,2118990,372.91,374.16,371.33
2021-05-03,379.32,2685849,373.84,379.62,372.89
2021-05-04,375.29,2133796,379.03,379.23,373.75
2021-05-05,372.5,1905324,376.35,377.52,372.05
2021-05-06,382.76,2641378,373.19,382.94,373.19
2021-05-07,384.32,1817365,382.83,386.45,382.2
2021-05-10,381.48,1998663,385.49,387.89,381.28
2021-05-11,378.18,1859681,379.31,380.92,376
2021-05-12,372.2,2344572,376,376.94,371.11
2021-05-13,379.53,2023855,373.09,381.44,371.57
2021-05-14,384.42,1876138,382.14,385.82,380.1
2021-05-17,383.96,1830155,385.04,387.05,382.9
2021-05-18,382.81,1698198,386.45,389.45,382.51
2021-05-19,379.66,1725320,377.15,381.73,376.13
2021-05-20,383.58,1427343,379.18,384.52,378.28
2021-05-21,380.72,1706560,385.05,385.35,380.43
2021-05-24,383.45,1657024,384.34,385.76,381.89
2021-05-25,385.38,1379749,383.62,385.74,382.03
2021-05-26,385.62,1647955,385.86,387.75,385.02
2021-05-27,387.5,4452001,385.13,387.77,383.5
2021-05-28,378.27,4682400,384.15,385.31,377.03
2021-06-01,378.23,2117770,379.93,380.2,375.5
2021-06-02,380.59,1881042,378.38,381.92,377.71
2021-06-03,383.87,1780524,379.64,384.19,378.86
2021-06-04,387.52,1765934,384.19,387.76,383.71
2021-06-07,380.4,2515804,385.47,386.45,378.57
2021-06-08,379.7,1554048,380.41,381.21,377.69
2021-06-09,379.96,1399154,380.21,381.78,379.13
2021-06-10,383.01,1404154,380.27,383.36,379.49
2021-06-11,381.83,1404299,383.86,383.86,380.53
2021-06-14,383.76,1652625,380.79,383.98,379.08
2021-06-15,383.91,1252017,383.76,384.5,381.56
2021-06-16,379.41,1801720,384.4,386.44,377.12
2021-06-17,384.75,1686533,380.38,386.47,379.21
2021-06-18,380.88,3415714,384.75,384.91,380.3
2021-06-21,386.8,1631569,382.25,387.65,380.56
2021-06-22,392.18,1934772,387.02,392.5,386.56
2021-06-23,391.97,1538035,393,393.44,390.59
2021-06-24,392.07,1487380,393.42,395.5,391.8
2021-06-25,394.51,2056384,392.97,394.55,391.25
2021-06-28,396.54,1645500,395,397.42,393.13
2021-06-29,398.79,1523560,396.3,399.44,395.47
2021-06-30,395.67,2031670,397.97,400.47,395
2021-07-01,394.53,1523396,396.3,397.69,393.88
2021-07-02,398.94,1677408,396.21,400.77,396.11
2021-07-06,398.86,2113374,399.84,401.4,397.11
2021-07-07,404.68,2308605,399.2,406.12,399.2
2021-07-08,407.15,2235549,403.5,408.64,403.16
2021-07-09,412.37,2304223,408.55,414,407.59
2021-07-12,407.88,2491334,414.04,414.35,404.53
2021-07-13,407.06,1540373,404.7,409.29,404.7
2021-07-14,409.95,1265817,408.58,410.47,407.26
2021-07-15,411.82,1894087,410.46,412.2,407.88
2021-07-16,410.37,1414087,412.12,413.42,409.77
2021-07-19,414.15,2293142,410.06,415.32,410.05
2021-07-20,416.24,2045376,414,418.07,412.85
2021-07-21,415.01,1480316,417.11,417.11,412.22
2021-07-22,417.54,1339236,416,418.6,413.55
2021-07-23,423.43,1344487,418.29,423.99,417.05
2021-07-26,423.23,1220157,423.4,424.5,420.35
2021-07-27,424.34,1666513,424,424.56,421.6
2021-07-28,422.22,1362771,423.27,424.86,420.54
2021-07-29,425.28,1434216,421.68,425.85,420.36
2021-07-30,429.72,2284040,425.98,431.5,425.94
2021-08-02,428.92,1367176,430.62,430.71,425.48
2021-08-03,435.07,1448146,429.92,436.8,429.12
2021-08-04,435.04,1280471,436,437.99,432.89
2021-08-05,443.19,1742634,437.75,443.5,436.73
2021-08-06,439.63,1789843,442.73,443.46,438.9
2021-08-09,440.47,1472778,440.65,442.78,439.31
2021-08-10,443.03,1893669,440.66,443.8,440.66
2021-08-11,444.3,2267691,445.5,448,441.8
2021-08-12,445.36,1230906,443,446.63,442.25
2021-08-13,447.82,1309261,445.78,448.36,444.54
2021-08-16,452.86,1515994,447.91,453.19,447.05
2021-08-17,452.34,1936682,452.86,453.78,449.7
2021-08-18,446.21,2030106,450.96,455.24,445.9
2021-08-19,454.26,1953733,442.95,455.5,441.31
2021-08-20,458.99,1911198,455.49,460.62,453.66
2021-08-23,454.93,1835928,457.27,459.06,454.59
2021-08-24,451.79,1541681,455.25,455.39,450.3
2021-08-25,451.23,1520567,450.83,452.82,447.32
2021-08-26,449.31,1418645,451.23,452.48,446.7
2021-08-27,450.34,1310420,449.31,451.62,446.8
2021-08-30,455.93,1220030,451.04,456.59,450.44
2021-08-31,455.49,1699018,456.14,456.88,452.44
2021-09-01,456.52,1325361,455.48,456.68,451.85
2021-09-02,460.97,1455945,459.42,461.44,458.39
2021-09-03,462.55,1303809,459,463.6,459
2021-09-07,459.6,1463507,462.5,463.2,457.63
2021-09-08,465.7,1372045,459.11,465.83,458.08
2021-09-09,465.94,1398718,467.34,469.77,465.24
2021-09-10,465.16,1324815,467.17,468.4,463.2
2021-09-13,459.66,1679467,467.06,468.24,458.2
2021-09-14,458.41,1383887,460.95,462.2,457.42
2021-09-15,460.73,1770339,458.24,462.25,456.14
2021-09-16,463.31,1577709,460.79,463.77,456.57
2021-09-17,459.51,3411408,461.62,462.82,457.02
2021-09-20,451.14,2602049,456.63,460.95,446.62
2021-09-21,452.11,1531266,451.14,456.84,450.16
2021-09-22,452.33,1380811,454.7,455.35,449.84
2021-09-23,452.78,2061230,452.3,455.55,451.1
2021-09-24,467.75,3353758,455.98,468.72,455
2021-09-27,460.56,2526024,465.55,470.49,457.24
2021-09-28,447.35,2632660,457.14,457.5,445.67
2021-09-29,451.79,1921956,449.87,456,448.9
2021-09-30,449.35,1837244,453.62,455.36,449.3
2021-10-01,448.33,1860677,449.73,451.08,440.76
2021-10-04,440.14,2263953,448.34,449.35,436.17
2021-10-05,446.24,1808749,439.58,449.11,439.25
2021-10-06,449.34,1334571,443.93,449.78,442.38
2021-10-07,452.87,1966239,456.47,459.59,452.07
2021-10-08,451.85,1545827,455.44,455.75,450
2021-10-11,449.7,1011739,450.04,453.69,449.54
2021-10-12,446.87,1380868,450.15,452.85,445.75
2021-10-13,445.3,1622100,448.54,450.51,444.07
2021-10-14,450.66,1481358,447.11,451.7,446.5
2021-10-15,452.39,1494790,453.89,453.94,449.18
2021-10-18,461.95,2141552,449.61,462.35,448.5
2021-10-19,467.08,1365302,463,467.16,460.31
2021-10-20,469.77,1353062,468.52,472.5,467.84
2021-10-21,477.23,1423275,469.77,477.65,469.08
2021-10-22,481.99,1710335,478.99,485.03,478.57
2021-10-25,490.1,1903424,481.99,492.21,479.5
2021-10-26,485.53,2378585,482.13,488.25,481.23
2021-10-27,489.11,1741794,483.85,491.5,483.56
2021-10-28,490.53,1362377,486.96,491.83,486.48
2021-10-29,491.54,2471597,486.78,494.17,486.66
2021-11-01,491.87,1548739,494.15,494.89,487.2
2021-11-02,496.99,2012216,494.74,499.49,492.72
2021-11-03,502.33,1856258,501.34,502.96,495.75
2021-11-04,515.62,2615013,507.01,520.21,506.01
2021-11-05,513.12,2071735,514.77,517.9,508.63
2021-11-08,503.81,2834829,513.41,513.41,500.2
2021-11-09,508.71,1881803,505.12,509.1,504.06
2021-11-10,505.51,1226628,508.26,510.36,503.77
2021-11-11,512.18,1227331,506.2,512.5,504.04
2021-11-12,517.17,1780234,514.25,519.66,513.23
2021-11-15,519.89,1392349,518.49,523.1,518.01
2021-11-16,526.72,1690708,519.84,528.3,517.41
2021-11-17,526.29,1609406,527.5,530.74,524.51
2021-11-18,529.37,1664995,528.16,530.8,522.49
2021-11-19,533.79,1913681,534.08,535.28,528.01
2021-11-22,539.65,2192217,533.32,545.42,532.32
2021-11-23,545.26,2147338,537.96,545.82,533.77
2021-11-24,549.73,2316441,545.54,550.83,543.32
2021-11-26,546.13,1844761,549.56,554.55,544.31
2021-11-29,554.88,2919138,546.13,560.78,542.41
2021-11-30,539.38,4244205,551,557.17,535.89
2021-12-01,529.84,2882122,543.1,548.25,529.4
2021-12-02,525.51,3277509,518.51,530.91,514.04
2021-12-03,528.93,2984376,529.99,537.5,524.77
2021-12-06,533.2,2432878,532.25,536.06,527.57
2021-12-07,542.02,2579798,538.25,543,534.71
2021-12-08,530.11,3037531,546.21,547.79,525.55
